Silhouette,Calinski-Harabasz,Davies-Bouldin,Clusters,Preprocessing,Method
0.40267928897972605,8774.898746102934,0.7685291782332753,3,None,kmeans
0.29975642333772384,8411.83054789457,0.9650771417614925,4,None,kmeans
0.25618628812231986,7293.357092698249,1.1424789771372263,5,None,kmeans
0.29588359343436776,7488.2095240142,1.0228242613107972,3,normalize,kmeans
0.3444616184668179,7746.664714310139,0.916347710224442,4,normalize,kmeans
0.27789848990725585,7000.240440176301,1.0687329958237801,5,normalize,kmeans
0.5042301524543128,14232.885626220721,0.5681909094242925,3,None,kmeans
0.4222636894146674,16232.206178971148,0.671033242562035,4,None,kmeans
0.36529180405524053,15789.396354531633,0.7904000367330417,5,None,kmeans
0.477577417800505,22397.904317197626,0.5779915305773259,3,normalize,kmeans
0.471460146011725,27006.770053891963,0.5787018478557231,4,normalize,kmeans
0.4390508752904184,28331.939239467436,0.6335530801379154,5,normalize,kmeans
0.32838970259002126,7396.000385151583,0.8101614568741778,3,None,hierarchical
0.28603072630906656,8037.376460416687,0.9875011407097656,4,None,hierarchical
0.26532343427591165,7130.933317276242,0.9881264692598245,5,None,hierarchical
0.30463707825152686,7042.6765207420185,0.9777506074126675,3,normalize,hierarchical
0.3421474687260029,7412.8468529997,0.9446845959563973,4,normalize,hierarchical
0.35483815004349556,7218.31769357601,0.8268012026422514,5,normalize,hierarchical
0.49981165088336016,13307.535238294198,0.5649741811318486,3,None,hierarchical
0.3747594093681726,14419.610614303618,0.7233265622732168,4,None,hierarchical
0.3537183520723457,14559.17288926004,0.8073446882243622,5,None,hierarchical
0.46275794094647443,20525.538477827205,0.5623513776716919,3,normalize,hierarchical
0.4076889370245141,24109.503802478346,0.6425554871279241,4,normalize,hierarchical
0.37470606411559865,23993.137295958702,0.6963923861247766,5,normalize,hierarchical
0.6883861660142706,5415.847150692491,0.33972227343818295,2,None,meanshift
0.32433929065314887,3420.9078133872436,0.8296126507051916,6,normalize,meanshift
0.7328535462716653,6768.460976394872,0.24808466929198036,2,None,meanshift
0.8118440923602308,7676.529163437966,0.31048191536026,3,normalize,meanshift
